,Unnamed: 0,ZIP,LAT,LNG,state_abbr,county,city
15084,15084,46225,39.740314,-86.163255,IN,Marion,Indianapolis
15085,15085,46226,39.838896,-86.052485,IN,Marion,Lawrence
15086,15086,46227,39.674763,-86.132676,IN,Marion,Southport
15087,15087,46228,39.848228,-86.200725,IN,Marion,Zcta 46228
15088,15088,46229,39.788484,-85.977075,IN,Marion,Cumberland
15089,15089,46231,39.715527,-86.32062,IN,Marion,Bridgeport
15090,15090,46234,39.813309,-86.326363,IN,Marion,Clermont
15091,15091,46235,39.836957,-85.974537,IN,Marion,Zcta 46235
15092,15092,46236,39.895722,-85.967501,IN,Marion,Oaklandon
15093,15093,46237,39.671143,-86.07211,IN,Marion,Southport
15094,15094,46239,39.721517,-85.999033,IN,Marion,Wanamaker
15095,15095,46240,39.906046,-86.124634,IN,Marion,Nora
15096,15096,46241,39.729852,-86.285424,IN,Marion,Park fletcher
15097,15097,46250,39.898839,-86.05872,IN,Marion,Castleton
15098,15098,46254,39.849717,-86.271637,IN,Marion,Eagle creek
15099,15099,46256,39.908383,-86.013138,IN,Marion,Castleton
15100,15100,46259,39.650921,-85.981465,IN,Marion,Acton
15101,15101,46260,39.898143,-86.177595,IN,Marion,Nora
15102,15102,46268,39.898613,-86.233341,IN,Marion,New augusta
15103,15103,46278,39.892946,-86.29805,IN,Marion,New augusta
15104,15104,46280,39.932373,-86.13128,IN,Hamilton,Nora
15105,15105,46290,39.938421,-86.163234,IN,Hamilton,Nora
15106,15106,46301,41.691148,-86.978774,IN,Porter,Beverly shores
15107,15107,46303,41.373714,-87.478977,IN,Lake,East cedar lake
15108,15108,46304,41.613633,-87.046206,IN,Porter,Porter
15109,15109,46307,41.403937,-87.326039,IN,Lake,Crown point
15110,15110,46310,41.179926,-87.2308,IN,Jasper,Demotte
15111,15111,46311,41.465084,-87.508915,IN,Lake,Dyer
15112,15112,46312,41.646953,-87.453983,IN,Lake,East chicago
15113,15113,46319,41.525472,-87.422201,IN,Lake,Griffith
15114,15114,46320,41.691764,-87.510917,IN,Lake,Hammond
15115,15115,46321,41.54751,-87.503268,IN,Lake,Munster
15116,15116,46322,41.546622,-87.457616,IN,Lake,Highland
15117,15117,46323,41.589434,-87.453729,IN,Lake,Hammond
15118,15118,46324,41.583084,-87.501585,IN,Lake,Hammond
15119,15119,46327,41.62787,-87.498701,IN,Lake,Hammond
15120,15120,46340,41.382571,-86.770664,IN,La Porte,Hanna
15121,15121,46341,41.309672,-87.214561,IN,Porter,Hebron
15122,15122,46342,41.518185,-87.244908,IN,Lake,Hobart
15123,15123,46345,41.52732,-86.698715,IN,La Porte,Kingsbury
15124,15124,46346,41.472,-86.692637,IN,La Porte,Kingsford height
15125,15125,46347,41.306668,-87.013293,IN,Porter,Kouts
15126,15126,46348,41.310322,-86.861894,IN,La Porte,La crosse
15127,15127,46349,41.097944,-87.412468,IN,Newton,Lake village
15128,15128,46350,41.607057,-86.721724,IN,La Porte,La porte
15129,15129,46356,41.256618,-87.422184,IN,Lake,Lowell
15130,15130,46360,41.68934,-86.869265,IN,La Porte,Michigan city
15131,15131,46365,41.611548,-86.545465,IN,La Porte,Mill creek
15132,15132,46366,41.215648,-86.768059,IN,Starke,North judson
15133,15133,46368,41.59082,-87.180707,IN,Porter,Portage
15134,15134,46371,41.688094,-86.595221,IN,La Porte,Rolling prairie
15135,15135,46373,41.448355,-87.467901,IN,Lake,Saint john
15136,15136,46374,41.204502,-86.897332,IN,Starke,San pierre
15137,15137,46375,41.491818,-87.448746,IN,Lake,Schererville
15138,15138,46376,41.184664,-87.475764,IN,Lake,Schneider
15139,15139,46377,41.194734,-87.338678,IN,Lake,Shelby
15140,15140,46379,41.167886,-87.439972,IN,Newton,Sumava resorts
15141,15141,46381,41.168551,-87.324634,IN,Newton,Thayer
15142,15142,46382,41.461306,-86.761986,IN,La Porte,Union mills
15143,15143,46383,41.463199,-87.007505,IN,Porter,Valparaiso
15144,15144,46385,41.460058,-87.129705,IN,Porter,Zcta 46385
15145,15145,46390,41.419466,-86.881518,IN,La Porte,Wanatah
15146,15146,46391,41.554106,-86.918985,IN,La Porte,Westville
15147,15147,46392,41.178401,-87.048317,IN,Jasper,Wheatfield
15148,15148,46393,41.508211,-87.17762,IN,Porter,Wheeler
15149,15149,46394,41.677695,-87.489493,IN,Lake,Whiting
15150,15150,46402,41.599334,-87.330662,IN,Lake,Gary
15151,15151,46403,41.608093,-87.262233,IN,Lake,Gary
15152,15152,46404,41.584047,-87.37403,IN,Lake,Gary
15153,15153,46405,41.575007,-87.262305,IN,Lake,Lake station
15154,15154,46406,41.602997,-87.408048,IN,Lake,Gary
15155,15155,46407,41.57844,-87.330137,IN,Lake,Gary
15156,15156,46408,41.545938,-87.368484,IN,Lake,Gary
15157,15157,46409,41.548312,-87.324279,IN,Lake,Gary
15158,15158,46410,41.480207,-87.333065,IN,Lake,Merrillville
15159,15159,46501,41.223031,-86.246291,IN,Marshall,Argos
15160,15160,46502,41.259415,-85.976238,IN,Kosciusko,Atwood
15161,15161,46504,41.301061,-86.111272,IN,Marshall,Bourbon
15162,15162,46506,41.462622,-86.1724,IN,Marshall,Bremen
15163,15163,46507,41.720973,-85.818067,IN,Elkhart,Bristol
15164,15164,46508,41.150407,-85.976783,IN,Kosciusko,Burket
15165,15165,46510,41.121661,-85.870707,IN,Kosciusko,Claypool
15166,15166,46511,41.21942,-86.426977,IN,Marshall,Culver military
15167,15167,46514,41.722641,-85.976908,IN,Elkhart,Elkhart
15168,15168,46516,41.676594,-85.944127,IN,Elkhart,Elkhart
15169,15169,46517,41.62729,-85.997855,IN,Elkhart,Elkhart
15170,15170,46524,41.305641,-86.014116,IN,Kosciusko,Etna green
15171,15171,46526,41.55878,-85.876662,IN,Elkhart,Foraker
15172,15172,46528,41.600525,-85.784864,IN,Elkhart,Zcta 46528
15173,15173,46530,41.740931,-86.126918,IN,St. Joseph,Granger
15174,15174,46531,41.356985,-86.519382,IN,Starke,Grovertown
15175,15175,46532,41.411435,-86.611346,IN,Starke,Hamlet
15176,15176,46534,41.285345,-86.617818,IN,Starke,Ober
15177,15177,46536,41.514551,-86.298011,IN,St. Joseph,Lakeville
15178,15178,46537,41.459879,-86.310197,IN,Marshall,Lapaz
15179,15179,46538,41.330237,-85.823415,IN,Kosciusko,Leesburg
15180,15180,46539,41.163149,-86.026511,IN,Kosciusko,Mentone
15181,15181,46540,41.680015,-85.698192,IN,Elkhart,Middlebury
15182,15182,46542,41.396628,-85.869691,IN,Kosciusko,Milford
15183,15183,46543,41.535194,-85.672121,IN,Elkhart,Millersburg
15184,15184,46544,41.615082,-86.14782,IN,St. Joseph,Mishawaka
15185,15185,46545,41.693766,-86.146824,IN,St. Joseph,Mishawaka
15186,15186,46550,41.445994,-86.000647,IN,Elkhart,Nappanee
15187,15187,46552,41.706315,-86.481879,IN,St. Joseph,New carlisle
15188,15188,46553,41.479526,-85.849206,IN,Elkhart,New paris
15189,15189,46554,41.557413,-86.416992,IN,St. Joseph,North liberty
15190,15190,46555,41.326506,-85.680481,IN,Kosciusko,North webster
15191,15191,46556,41.707119,-86.251338,IN,St. Joseph,Saint marys
15192,15192,46561,41.663978,-86.075352,IN,St. Joseph,Osceola
15193,15193,46562,41.208342,-85.684898,IN,Kosciusko,Pierceton
15194,15194,46563,41.356728,-86.327261,IN,Marshall,Inwood
15195,15195,46565,41.69485,-85.577499,IN,Lagrange,Shipshewana
15196,15196,46567,41.416491,-85.725422,IN,Kosciusko,Syracuse
15197,15197,46570,41.197926,-86.121792,IN,Marshall,Tippecanoe
15198,15198,46571,41.57559,-85.547199,IN,Lagrange,Topeka
15199,15199,46573,41.544364,-86.069668,IN,Elkhart,Wakarusa
15200,15200,46574,41.481951,-86.486629,IN,St. Joseph,Walkerton
15201,15201,46580,41.213832,-85.869547,IN,Kosciusko,Warsaw
15202,15202,46582,41.280602,-85.854448,IN,Kosciusko,Zcta 46582
15203,15203,46590,41.217143,-85.813135,IN,Kosciusko,Winona lake
15204,15204,46595,41.526336,-86.166605,IN,St. Joseph,Wyatt
15205,15205,46601,41.670274,-86.252661,IN,St. Joseph,South bend
15206,15206,46613,41.655494,-86.258431,IN,St. Joseph,South bend
15207,15207,46614,41.603188,-86.27921,IN,St. Joseph,South bend
15208,15208,46615,41.673953,-86.21171,IN,St. Joseph,South bend
15209,15209,46616,41.697826,-86.266028,IN,St. Joseph,South bend
15210,15210,46617,41.684553,-86.234758,IN,St. Joseph,South bend
15211,15211,46619,41.660941,-86.35375,IN,St. Joseph,South bend
15212,15212,46628,41.723298,-86.328342,IN,St. Joseph,South bend
15213,15213,46635,41.714357,-86.201743,IN,St. Joseph,South bend
15214,15214,46637,41.733701,-86.24147,IN,St. Joseph,South bend
15215,15215,46701,41.360791,-85.431238,IN,Noble,Albion
15216,15216,46702,40.831378,-85.628114,IN,Huntington,Andrews
15217,15217,46703,41.649589,-85.00655,IN,Steuben,Angola
15218,15218,46704,41.103975,-85.292577,,,
15219,15219,46705,41.518869,-85.059669,IN,De Kalb,Ashley
15220,15220,46706,41.341594,-85.032655,IN,De Kalb,Auburn
15221,15221,46710,41.342351,-85.242144,IN,Noble,Avilla
15222,15222,46711,40.661951,-84.926879,IN,Adams,Linn grove
15223,15223,46714,40.722652,-85.176526,IN,Wells,Bluffton
15224,15224,46721,41.423132,-84.876656,IN,De Kalb,Butler
15225,15225,46723,41.24553,-85.326545,IN,Whitley,Churubusco
15226,15226,46725,41.148544,-85.475768,IN,Whitley,Columbia city
15227,15227,46730,41.458442,-85.151597,IN,De Kalb,Corunna
15228,15228,46731,40.793538,-85.099634,IN,Wells,Craigville
15229,15229,46732,41.379566,-85.622389,IN,Noble,Cromwell
15230,15230,46733,40.828228,-84.940039,IN,Adams,Decatur
15231,15231,46737,41.719282,-84.92983,IN,Steuben,Fremont
15232,15232,46738,41.318908,-85.148865,IN,De Kalb,Garrett
15233,15233,46740,40.60428,-84.964762,IN,Adams,Geneva
15234,15234,46741,41.216995,-84.951172,IN,Allen,Grabill
15235,15235,46742,41.548594,-84.879092,IN,Steuben,Hamilton
15236,15236,46743,41.215359,-84.851125,IN,Allen,Harlan
15237,15237,46745,40.951657,-85.009422,IN,Allen,Hoagland
15238,15238,46746,41.725354,-85.344932,IN,Lagrange,Howe
15239,15239,46747,41.565687,-85.157978,IN,Steuben,Helmer
15240,15240,46748,41.248585,-85.161149,IN,Allen,Huntertown
15241,15241,46750,40.87846,-85.496399,IN,Huntington,Huntington
15242,15242,46755,41.44922,-85.275147,IN,Noble,Kendallville
15243,15243,46759,40.603927,-85.178498,IN,Wells,Keystone
15244,15244,46760,41.345491,-85.552692,IN,Noble,Kimmell
15245,15245,46761,41.63445,-85.377399,IN,Lagrange,Lagrange
15246,15246,46763,41.301427,-85.232689,IN,Noble,Laotto
15247,15247,46764,41.224389,-85.620412,IN,Whitley,Larwill
15248,15248,46765,41.232447,-85.048745,IN,Allen,Leo
15249,15249,46766,40.708823,-85.288636,IN,Wells,Liberty center
15250,15250,46767,41.470883,-85.570523,IN,Noble,Ligonier
15251,15251,46770,40.837684,-85.324251,IN,Wells,Markle
15252,15252,46771,41.694296,-85.296149,,,
15253,15253,46772,40.721508,-84.913716,IN,Adams,Monroe
15254,15254,46773,40.982148,-84.875607,IN,Allen,Monroeville
15255,15255,46774,41.089259,-84.972549,IN,Allen,New haven
15256,15256,46776,41.721181,-85.165915,IN,Steuben,Orland
15257,15257,46777,40.869136,-85.147577,IN,Wells,Ossian
15258,15258,46779,41.577202,-85.039473,IN,Steuben,Pleasant lake
15259,15259,46781,40.63238,-85.26889,IN,Wells,Poneto
15260,15260,46783,40.969261,-85.357314,IN,Huntington,Roanoke
15261,15261,46784,41.500444,-85.38831,IN,Noble,Rome city
15262,15262,46785,41.323197,-84.877756,IN,De Kalb,Saint joe
15263,15263,46786,41.532044,-85.272374,,,
15264,15264,46787,41.066251,-85.619724,IN,Whitley,South whitley
15265,15265,46788,41.272928,-84.908026,IN,Allen,Spencerville
15266,15266,46791,40.837816,-85.232101,IN,Wells,Uniondale
15267,15267,46792,40.684316,-85.44333,IN,Huntington,Warren
15268,15268,46793,41.452403,-85.015268,IN,De Kalb,Waterloo
15269,15269,46794,41.46219,-85.452201,IN,Noble,Wawaka
