AQSID,SiteName,Latitude,Longitude,CountyName,parameter name
40213001,AJ Maintenance Yard,33.421406,-111.543596,PINAL,['OZONE']
40213002,Apache Junction,33.42,-111.5042,PINAL,"['PM10', 'PM2.5']"
40213003,C GRANDE,32.9544,-111.7622,PINAL,['OZONE']
40213007,Pinal Air Park,32.508308,-111.30806,PINAL,"['PM10', 'OZONE']"
40213008,Stanfield,32.881195,-111.961998,PINAL,['PM10']
40213009,COMBS,33.2192,-111.5608,PINAL,['PM10']
40213011,Pinal County Housing,32.891056,-111.570503,PINAL,['PM10']
40213014,Eloy,32.757639,-111.554861,PINAL,['PM10']
40213015,Hidden Valley,32.884761,-112.03705,PINAL,"['PM10', 'PM2.5']"
40213016,Maricopa,33.06115,-112.05204,PINAL,['PM10']
40218001,Queen Valley,33.289398,-111.292801,PINAL,['OZONE']
40230004,Nogales Post Office,31.337204,-110.936722,SANTA CRUZ,"['PM10', 'PM2.5']"
40278011,Yuma Supersite,32.690277,-114.614441,YUMA,"['PM10', 'OZONE', 'PM2.5']"
50199991,Caddo Valley,34.1795,-93.0988,CLARK,['OZONE']
50350005,MARION,35.1967,-90.1911,CRITTENDEN,"['OZONE', 'PM2.5']"
51010002,DEER,35.8325,-93.2192,NEWTON,['OZONE']
51130003,EAGLEMT,34.4544,-94.1433,POLK,['OZONE']
51190007,PARR,34.7561,-92.2758,PULASKI,"['OZONE', 'PM2.5']"
51191002,NLRAP,34.8306,-92.2594,PULASKI,['OZONE']
51191008,ADEQ-DSR,34.6811,-92.3283,PULASKI,['PM2.5']
51430005,SPRNGDLE,36.1797,-94.1167,WASHINGTON,"['OZONE', 'PM2.5']"
51430006,Fayetteville,36.011703,-94.167436,WASHINGTON,['OZONE']
60010007,Livermore - Rincon,37.687526,-121.784217,ALAMEDA,"['NO2', 'OZONE', 'PM2.5']"
60010009,Oakland,37.743061,-122.169907,ALAMEDA,"['CO', 'NO2', 'OZONE', 'PM2.5']"
60010011,Oakland West,37.8148,-122.282402,ALAMEDA,"['NO2', 'CO', 'PM2.5', 'SO2', 'OZONE']"
60010012,Laney College,37.793624,-122.263376,ALAMEDA,"['NO2', 'CO', 'PM2.5']"
60050002,Jackson - Clinton,38.342606,-120.764426,AMADOR,['OZONE']
60051033,Kirkwood,38.690757,-120.072682,AMADOR,
60070007,Paradise - Airport,39.708454,-121.617309,BUTTE,['OZONE']
60070008,Chico -  East,39.76168,-121.84047,BUTTE,"['NO2', 'CO', 'PM2.5', 'PM10', 'OZONE']"
60072002,Paradise Theater,39.77919,-121.59135,BUTTE,['PM2.5']
60074001,Gridley,39.32756,-121.66881,BUTTE,['PM2.5']
60090001,San Andreas,38.20185,-120.680277,CALAVERAS,"['PM10', 'OZONE', 'PM2.5']"
60130002,Concord,37.9383,-122.025,CONTRA COSTA,"['NO2', 'CO', 'PM2.5', 'SO2', 'OZONE']"
60130006,Richmond - 7th St,37.9478,-122.3636,CONTRA COSTA,['SO2']
60131002,Bethel Island,38.006311,-121.641918,CONTRA COSTA,"['CO', 'NO2', 'OZONE', 'SO2']"
60131004,San Pablo - Rumrill,37.9604,-122.3571,CONTRA COSTA,"['NO2', 'CO', 'PM2.5', 'SO2', 'OZONE']"
60132007,San Ramon,37.743649,-121.934188,CONTRA COSTA,"['NO2', 'OZONE']"
60150007,Crescent City,41.75613,-124.20347,DEL NORTE,['PM2.5']
60170020,Cool (Seasonal),38.89094,-121.00337,EL DORADO,['OZONE']
60190011,Fresno - Garland,36.78538,-119.77321,FRESNO,"['NO2', 'CO', 'PM2.5', 'PM10', 'SO2', 'OZONE']"
60192008,Huron,36.1994,-120.0991,FRESNO,['PM2.5']
